stand,kanton,jahr,stufe,schultyp,geschlecht,staatsangehoerigkeit,traegerschaft,finanzierung,anzahl
2025-01-13,zh,2023,Sekundarstufe I,Heim- und Sonderschule,weiblich,Ausland,öffentlich,öffentlich,38
2025-01-13,zh,2023,Sekundarstufe I,Heim- und Sonderschule,weiblich,Schweiz,privat,öffentlich,137
2025-01-13,zh,2023,Sekundarstufe I,Heim- und Sonderschule,weiblich,Ausland,privat,öffentlich,55
2025-01-13,zh,2023,Sekundarstufe I,Heim- und Sonderschule,männlich,Schweiz,öffentlich,öffentlich,119
2025-01-13,zh,2023,Sekundarstufe I,Heim- und Sonderschule,männlich,Ausland,öffentlich,öffentlich,65
2025-01-13,zh,2023,Sekundarstufe I,Heim- und Sonderschule,männlich,Schweiz,privat,öffentlich,320
2025-01-13,zh,2023,Sekundarstufe I,Heim- und Sonderschule,männlich,Ausland,privat,öffentlich,191
2025-01-13,zh,2023,Sekundarstufe II,Mittelschule,weiblich,Schweiz,öffentlich,öffentlich,5292
2025-01-13,zh,2023,Sekundarstufe II,Mittelschule,weiblich,Ausland,öffentlich,öffentlich,914
2025-01-13,zh,2023,Sekundarstufe II,Mittelschule,weiblich,Schweiz,privat,privat,1014
2025-01-13,zh,2023,Sekundarstufe II,Mittelschule,weiblich,Ausland,privat,privat,609
2025-01-13,zh,2023,Sekundarstufe II,Mittelschule,männlich,Schweiz,öffentlich,öffentlich,4139
2025-01-13,zh,2023,Sekundarstufe II,Mittelschule,männlich,Ausland,öffentlich,öffentlich,763
2025-01-13,zh,2023,Sekundarstufe II,Mittelschule,männlich,Schweiz,privat,privat,793
2025-01-13,zh,2023,Sekundarstufe II,Mittelschule,männlich,Ausland,privat,privat,595
2025-01-13,zh,2023,Sekundarstufe II,Heim- und Sonderschule,weiblich,Schweiz,öffentlich,öffentlich,39
2025-01-13,zh,2023,Sekundarstufe II,Heim- und Sonderschule,weiblich,Ausland,öffentlich,öffentlich,20
2025-01-13,zh,2023,Sekundarstufe II,Heim- und Sonderschule,weiblich,Schweiz,privat,öffentlich,22
2025-01-13,zh,2023,Sekundarstufe II,Heim- und Sonderschule,weiblich,Ausland,privat,öffentlich,15
2025-01-13,zh,2023,Sekundarstufe II,Heim- und Sonderschule,männlich,Schweiz,öffentlich,öffentlich,69
2025-01-13,zh,2023,Sekundarstufe II,Heim- und Sonderschule,männlich,Ausland,öffentlich,öffentlich,29
2025-01-13,zh,2023,Sekundarstufe II,Heim- und Sonderschule,männlich,Schweiz,privat,öffentlich,50
2025-01-13,zh,2023,Sekundarstufe II,Heim- und Sonderschule,männlich,Ausland,privat,öffentlich,31
2025-01-13,zh,2023,Sekundarstufe II,Brückenangebot,weiblich,Schweiz,öffentlich,öffentlich,462
2025-01-13,zh,2023,Sekundarstufe II,Brückenangebot,weiblich,Ausland,öffentlich,öffentlich,419
2025-01-13,zh,2023,Sekundarstufe II,Brückenangebot,weiblich,Schweiz,privat,öffentlich,13
2025-01-13,zh,2023,Sekundarstufe II,Brückenangebot,weiblich,Ausland,privat,öffentlich,1
2025-01-13,zh,2023,Sekundarstufe II,Brückenangebot,weiblich,Schweiz,privat,privat,80
2025-01-13,zh,2023,Sekundarstufe II,Brückenangebot,weiblich,Ausland,privat,privat,28
2025-01-13,zh,2023,Sekundarstufe II,Brückenangebot,männlich,Schweiz,öffentlich,öffentlich,507
2025-01-13,zh,2023,Sekundarstufe II,Brückenangebot,männlich,Ausland,öffentlich,öffentlich,591
2025-01-13,zh,2023,Sekundarstufe II,Brückenangebot,männlich,Schweiz,privat,öffentlich,7
2025-01-13,zh,2023,Sekundarstufe II,Brückenangebot,männlich,Ausland,privat,öffentlich,4
2025-01-13,zh,2023,Sekundarstufe II,Brückenangebot,männlich,Schweiz,privat,privat,46
2025-01-13,zh,2023,Sekundarstufe II,Brückenangebot,männlich,Ausland,privat,privat,9
2025-01-13,zh,2023,Sekundarstufe II,Berufsfachschule,weiblich,Schweiz,öffentlich,öffentlich,10799
2025-01-13,zh,2023,Sekundarstufe II,Berufsfachschule,weiblich,Ausland,öffentlich,öffentlich,3269
2025-01-13,zh,2023,Sekundarstufe II,Berufsfachschule,weiblich,Schweiz,privat,öffentlich,3893
2025-01-13,zh,2023,Sekundarstufe II,Berufsfachschule,weiblich,Ausland,privat,öffentlich,986
2025-01-13,zh,2023,Sekundarstufe II,Berufsfachschule,weiblich,Schweiz,privat,privat,2190
2025-01-13,zh,2023,Sekundarstufe II,Berufsfachschule,weiblich,Ausland,privat,privat,316
2025-01-13,zh,2023,Sekundarstufe II,Berufsfachschule,männlich,Schweiz,öffentlich,öffentlich,15763
2025-01-13,zh,2023,Sekundarstufe II,Berufsfachschule,männlich,Ausland,öffentlich,öffentlich,4477
2025-01-13,zh,2023,Sekundarstufe II,Berufsfachschule,männlich,Schweiz,privat,öffentlich,2452
2025-01-13,zh,2023,Sekundarstufe II,Berufsfachschule,männlich,Ausland,privat,öffentlich,548
2025-01-13,zh,2023,Sekundarstufe II,Berufsfachschule,männlich,Schweiz,privat,privat,1431
2025-01-13,zh,2023,Sekundarstufe II,Berufsfachschule,männlich,Ausland,privat,privat,224
2025-01-13,zh,2023,Tertiärstufe,Höhere Berufsbildung,weiblich,Schweiz,öffentlich,öffentlich,1326
2025-01-13,zh,2023,Tertiärstufe,Höhere Berufsbildung,weiblich,Ausland,öffentlich,öffentlich,173
2025-01-13,zh,2023,Tertiärstufe,Höhere Berufsbildung,weiblich,Schweiz,privat,öffentlich,2649
2025-01-13,zh,2023,Tertiärstufe,Höhere Berufsbildung,weiblich,Ausland,privat,öffentlich,428
2025-01-13,zh,2023,Tertiärstufe,Höhere Berufsbildung,weiblich,Schweiz,privat,privat,4356
2025-01-13,zh,2023,Tertiärstufe,Höhere Berufsbildung,weiblich,Ausland,privat,privat,690
2025-01-13,zh,2023,Tertiärstufe,Höhere Berufsbildung,männlich,Schweiz,öffentlich,öffentlich,1512
2025-01-13,zh,2023,Tertiärstufe,Höhere Berufsbildung,männlich,Ausland,öffentlich,öffentlich,210
2025-01-13,zh,2023,Tertiärstufe,Höhere Berufsbildung,männlich,Schweiz,privat,öffentlich,2308
2025-01-13,zh,2023,Tertiärstufe,Höhere Berufsbildung,männlich,Ausland,privat,öffentlich,350
2025-01-13,zh,2023,Tertiärstufe,Höhere Berufsbildung,männlich,Schweiz,privat,privat,5253
2025-01-13,zh,2023,Tertiärstufe,Höhere Berufsbildung,männlich,Ausland,privat,privat,987
2025-01-13,zh,2022,Primarstufe 1-2,Regelschule,weiblich,Schweiz,öffentlich,öffentlich,11007
2025-01-13,zh,2022,Primarstufe 1-2,Regelschule,weiblich,Ausland,öffentlich,öffentlich,4373
2025-01-13,zh,2022,Primarstufe 1-2,Regelschule,weiblich,Schweiz,privat,privat,581
2025-01-13,zh,2022,Primarstufe 1-2,Regelschule,weiblich,Ausland,privat,privat,431
2025-01-13,zh,2022,Primarstufe 1-2,Regelschule,männlich,Schweiz,öffentlich,öffentlich,11723
2025-01-13,zh,2022,Primarstufe 1-2,Regelschule,männlich,Ausland,öffentlich,öffentlich,4587
2025-01-13,zh,2022,Primarstufe 1-2,Regelschule,männlich,Schweiz,privat,privat,595
2025-01-13,zh,2022,Primarstufe 1-2,Regelschule,männlich,Ausland,privat,privat,452
2025-01-13,zh,2022,Primarstufe 1-2,Heim- und Sonderschule,weiblich,Schweiz,öffentlich,öffentlich,26
2025-01-13,zh,2022,Primarstufe 1-2,Heim- und Sonderschule,weiblich,Ausland,öffentlich,öffentlich,24
2025-01-13,zh,2022,Primarstufe 1-2,Heim- und Sonderschule,weiblich,Schweiz,privat,öffentlich,28
2025-01-13,zh,2022,Primarstufe 1-2,Heim- und Sonderschule,weiblich,Ausland,privat,öffentlich,19
2025-01-13,zh,2022,Primarstufe 1-2,Heim- und Sonderschule,männlich,Schweiz,öffentlich,öffentlich,64
2025-01-13,zh,2022,Primarstufe 1-2,Heim- und Sonderschule,männlich,Ausland,öffentlich,öffentlich,49
2025-01-13,zh,2022,Primarstufe 1-2,Heim- und Sonderschule,männlich,Schweiz,privat,öffentlich,59
2025-01-13,zh,2022,Primarstufe 1-2,Heim- und Sonderschule,männlich,Ausland,privat,öffentlich,56
2025-01-13,zh,2022,Primarstufe 3-8,Regelschule,weiblich,Schweiz,öffentlich,öffentlich,33615
2025-01-13,zh,2022,Primarstufe 3-8,Regelschule,weiblich,Ausland,öffentlich,öffentlich,12298
2025-01-13,zh,2022,Primarstufe 3-8,Regelschule,weiblich,Schweiz,privat,privat,1412
2025-01-13,zh,2022,Primarstufe 3-8,Regelschule,weiblich,Ausland,privat,privat,977
2025-01-13,zh,2022,Primarstufe 3-8,Regelschule,männlich,Schweiz,öffentlich,öffentlich,34989
2025-01-13,zh,2022,Primarstufe 3-8,Regelschule,männlich,Ausland,öffentlich,öffentlich,12325
2025-01-13,zh,2022,Primarstufe 3-8,Regelschule,männlich,Schweiz,privat,privat,1613
2025-01-13,zh,2022,Primarstufe 3-8,Regelschule,männlich,Ausland,privat,privat,1192
2025-01-13,zh,2022,Primarstufe 3-8,Heim- und Sonderschule,weiblich,Schweiz,öffentlich,öffentlich,114
2025-01-13,zh,2022,Primarstufe 3-8,Heim- und Sonderschule,weiblich,Ausland,öffentlich,öffentlich,100
2025-01-13,zh,2022,Primarstufe 3-8,Heim- und Sonderschule,weiblich,Schweiz,privat,öffentlich,151
2025-01-13,zh,2022,Primarstufe 3-8,Heim- und Sonderschule,weiblich,Ausland,privat,öffentlich,99
2025-01-13,zh,2022,Primarstufe 3-8,Heim- und Sonderschule,männlich,Schweiz,öffentlich,öffentlich,229
2025-01-13,zh,2022,Primarstufe 3-8,Heim- und Sonderschule,männlich,Ausland,öffentlich,öffentlich,181
2025-01-13,zh,2022,Primarstufe 3-8,Heim- und Sonderschule,männlich,Schweiz,privat,öffentlich,482
2025-01-13,zh,2022,Primarstufe 3-8,Heim- und Sonderschule,männlich,Ausland,privat,öffentlich,305
2025-01-13,zh,2022,Sekundarstufe I,Regelschule,weiblich,Schweiz,öffentlich,öffentlich,11999
2025-01-13,zh,2022,Sekundarstufe I,Regelschule,weiblich,Ausland,öffentlich,öffentlich,4208
2025-01-13,zh,2022,Sekundarstufe I,Regelschule,weiblich,Schweiz,privat,privat,1222
2025-01-13,zh,2022,Sekundarstufe I,Regelschule,weiblich,Ausland,privat,privat,521
2025-01-13,zh,2022,Sekundarstufe I,Regelschule,männlich,Schweiz,öffentlich,öffentlich,13144
2025-01-13,zh,2022,Sekundarstufe I,Regelschule,männlich,Ausland,öffentlich,öffentlich,4472
2025-01-13,zh,2022,Sekundarstufe I,Regelschule,männlich,Schweiz,privat,öffentlich,2
2025-01-13,zh,2022,Sekundarstufe I,Regelschule,männlich,Ausland,privat,öffentlich,7
2025-01-13,zh,2022,Sekundarstufe I,Regelschule,männlich,Schweiz,privat,privat,1489
2025-01-13,zh,2022,Sekundarstufe I,Regelschule,männlich,Ausland,privat,privat,665
2025-01-13,zh,2022,Sekundarstufe I,Mittelschule,weiblich,Schweiz,öffentlich,öffentlich,3654
2025-01-13,zh,2022,Sekundarstufe I,Mittelschule,weiblich,Ausland,öffentlich,öffentlich,654
2025-01-13,zh,2022,Sekundarstufe I,Mittelschule,weiblich,Schweiz,privat,privat,195
2025-01-13,zh,2022,Sekundarstufe I,Mittelschule,weiblich,Ausland,privat,privat,54
2025-01-13,zh,2022,Sekundarstufe I,Mittelschule,männlich,Schweiz,öffentlich,öffentlich,3210
2025-01-13,zh,2022,Sekundarstufe I,Mittelschule,männlich,Ausland,öffentlich,öffentlich,550
2025-01-13,zh,2022,Sekundarstufe I,Mittelschule,männlich,Schweiz,privat,privat,196
2025-01-13,zh,2022,Sekundarstufe I,Mittelschule,männlich,Ausland,privat,privat,75
2025-01-13,zh,2022,Sekundarstufe I,Heim- und Sonderschule,weiblich,Schweiz,öffentlich,öffentlich,63
2025-01-13,zh,2022,Sekundarstufe I,Heim- und Sonderschule,weiblich,Ausland,öffentlich,öffentlich,40
2025-01-13,zh,2022,Sekundarstufe I,Heim- und Sonderschule,weiblich,Schweiz,privat,öffentlich,153
2025-01-13,zh,2022,Sekundarstufe I,Heim- und Sonderschule,weiblich,Ausland,privat,öffentlich,67
2025-01-13,zh,2022,Sekundarstufe I,Heim- und Sonderschule,männlich,Schweiz,öffentlich,öffentlich,111
2025-01-13,zh,2022,Sekundarstufe I,Heim- und Sonderschule,männlich,Ausland,öffentlich,öffentlich,63
2025-01-13,zh,2022,Sekundarstufe I,Heim- und Sonderschule,männlich,Schweiz,privat,öffentlich,315
2025-01-13,zh,2022,Sekundarstufe I,Heim- und Sonderschule,männlich,Ausland,privat,öffentlich,181
2025-01-13,zh,2022,Sekundarstufe II,Mittelschule,weiblich,Schweiz,öffentlich,öffentlich,5222
2025-01-13,zh,2022,Sekundarstufe II,Mittelschule,weiblich,Ausland,öffentlich,öffentlich,861
2025-01-13,zh,2022,Sekundarstufe II,Mittelschule,weiblich,Schweiz,privat,privat,962
2025-01-13,zh,2022,Sekundarstufe II,Mittelschule,weiblich,Ausland,privat,privat,572
2025-01-13,zh,2022,Sekundarstufe II,Mittelschule,männlich,Schweiz,öffentlich,öffentlich,4049
2025-01-13,zh,2022,Sekundarstufe II,Mittelschule,männlich,Ausland,öffentlich,öffentlich,749
2025-01-13,zh,2022,Sekundarstufe II,Mittelschule,männlich,Schweiz,privat,privat,848
2025-01-13,zh,2022,Sekundarstufe II,Mittelschule,männlich,Ausland,privat,privat,571
2025-01-13,zh,2022,Sekundarstufe II,Heim- und Sonderschule,weiblich,Schweiz,öffentlich,öffentlich,36
2025-01-13,zh,2022,Sekundarstufe II,Heim- und Sonderschule,weiblich,Ausland,öffentlich,öffentlich,26
2025-01-13,zh,2022,Sekundarstufe II,Heim- und Sonderschule,weiblich,Schweiz,privat,öffentlich,28
